jurisdiction,year,quarter,num_inmate_are_3rd_striker,num_inmate_are_2nd_striker,num_unserved_felony_warrants,num_unserved_misdemean_warrants,percent_inmates_illegal_alien,num_inmate_assaults_on_staff,money_spent_medication_last_qtr,money_spent_psych_med_last_qtr,avg_length_stay_all_releases,avg_length_stay_pretrial_release,avg_length_stay_sentnced_release,census_county_name,fips_state_code,fips_county_code,fips_state_county_code
Amador Sheriff's Department,2001,1,1,6,NA,NA,0,0,NA,NA,NA,NA,NA,Amador County,06,005,06005
Butte Sheriff's Department,2001,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Butte County,06,007,06007
Calaveras Sheriff's Department,2001,1,0,0,149,3472,1,1,NA,NA,NA,NA,NA,Calaveras County,06,009,06009
Colusa Sheriff's Department,2001,1,0,0,NA,NA,5,0,NA,NA,NA,NA,NA,Colusa County,06,011,06011
Contra Costa Sheriff's Department,2001,1,64,10,3017,26516,6,14,NA,NA,NA,NA,NA,Contra Costa County,06,013,06013
El Dorado Sheriff's Department,2001,1,3,6,285,3195,2,1,NA,NA,NA,NA,NA,El Dorado County,06,017,06017
Fresno Sheriff's Department,2001,1,19,106,11027,124833,2.44,1,NA,NA,NA,NA,NA,Fresno County,06,019,06019
Glenn Sheriff's Department,2001,1,1,0,1200,7206,6,0,NA,NA,NA,NA,NA,Glenn County,06,021,06021
Humboldt Sheriff's Department,2001,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,Humboldt County,06,023,06023
Imperial Sheriff's Department,2001,1,0,2,1866,50511,0,0,NA,NA,NA,NA,NA,Imperial County,06,025,06025
Inyo Sheriff's Department,2001,1,0,1,NA,NA,5,0,NA,NA,NA,NA,NA,Inyo County,06,027,06027
Kern Sheriff's Department,2001,1,30,NA,3881,34608,NA,4,NA,NA,NA,NA,NA,Kern County,06,029,06029
Kings Sheriff's Department,2001,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kings County,06,031,06031
Lake Sheriff's Department,2001,1,NA,NA,11344,18310,0,0,NA,NA,NA,NA,NA,Lake County,06,033,06033
Lassen Sheriff's Department,2001,1,1,4,NA,NA,NA,0,NA,NA,NA,NA,NA,Lassen County,06,035,06035
Los Angeles Sheriff's Department,2001,1,695,1335,98035,817132,23,33,NA,NA,NA,NA,NA,Los Angeles County,06,037,06037
Scapular House,2001,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,Los Angeles County,06,037,06037
Madera Corrections Department,2001,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,Madera County,06,039,06039
Marin Sheriff's Department,2001,1,20,2,872,9061,14.9,0,NA,NA,NA,NA,NA,Marin County,06,041,06041
Mariposa Sheriff's Department,2001,1,0,1,101,854,0,0,NA,NA,NA,NA,NA,Mariposa County,06,043,06043
Mendocino Sheriff's Department,2001,1,4,1,400,10400,9,0,NA,NA,NA,NA,NA,Mendocino County,06,045,06045
Merced Sheriff's Department,2001,1,10,16,2895,27515,14,1,NA,NA,NA,NA,NA,Merced County,06,047,06047
Modoc Sheriff's Department,2001,1,1,3,391,1644,1,0,NA,NA,NA,NA,NA,Modoc County,06,049,06049
Mono Sheriff's Department,2001,1,0,0,1750,3554,1,0,NA,NA,NA,NA,NA,Mono County,06,051,06051
Monterey Sheriff's Department,2001,1,NA,NA,1e4,1e4,NA,3,NA,NA,NA,NA,NA,Monterey County,06,053,06053
Napa Corrections Department,2001,1,35,40,0,0,22,0,NA,NA,NA,NA,NA,Napa County,06,055,06055
Nevada Sheriff's Department,2001,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nevada County,06,057,06057
Orange Sheriff's Department,2001,1,113,186,18981,173567,12.2,15,NA,NA,NA,NA,NA,Orange County,06,059,06059
Santa Ana Police Department,2001,1,NA,NA,NA,NA,35.8,0,NA,NA,NA,NA,NA,Orange County,06,059,06059
Placer Sheriff's Department,2001,1,14,13,719,8731,0,0,NA,NA,NA,NA,NA,Placer County,06,061,06061
Plumas Sheriff's Department,2001,1,1,2,96,459,0,0,NA,NA,NA,NA,NA,Plumas County,06,063,06063
Riverside Sheriff's Department,2001,1,11,1,11209,178311,14.870000000000001,37,NA,NA,NA,NA,NA,Riverside County,06,065,06065
Sacramento Sheriff's Department,2001,1,88,98,4476,71148,NA,NA,NA,NA,NA,NA,NA,Sacramento County,06,067,06067
San Benito Sheriff's Department,2001,1,0,2,NA,NA,5,0,NA,NA,NA,NA,NA,San Benito County,06,069,06069
San Bernardino Sheriff's Department,2001,1,62,124,12726,71469,21,5,NA,NA,NA,NA,NA,San Bernardino County,06,071,06071
San Diego Sheriff's Department,2001,1,106,278,16372,25484,5,8,NA,NA,NA,NA,NA,San Diego County,06,073,06073
San Diego Work Furlough,2001,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,San Diego County,06,073,06073
San Diego Probation Department,2001,1,0,0,0,0,4,0,NA,NA,NA,NA,NA,San Diego County,06,073,06073
San Francisco Sheriff's Department,2001,1,NA,NA,433,290,NA,2,NA,NA,NA,NA,NA,San Francisco County,06,075,06075
San Joaquin Sheriff's Department,2001,1,25,30,0,0,9,0,NA,NA,NA,NA,NA,San Joaquin County,06,077,06077
San Luis Obispo Sheriff's Department,2001,1,4,2,906,23478,10,1,NA,NA,NA,NA,NA,San Luis Obispo County,06,079,06079
San Mateo Sheriff's Department,2001,1,45,86,NA,NA,14.4,0,NA,NA,NA,NA,NA,San Mateo County,06,081,06081
Santa Barbara Sheriff's Department,2001,1,6,6,1547,13427,17,2,NA,NA,NA,NA,NA,Santa Barbara County,06,083,06083
Santa Clara Corrections Department,2001,1,118,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,Santa Clara County,06,085,06085
Santa Clara Probation Department,2001,1,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,Santa Clara County,06,085,06085
Santa Cruz Sheriff's Department,2001,1,10,24,1122,6767,6,1,NA,NA,NA,NA,NA,Santa Cruz County,06,087,06087
Shasta Sheriff's Department,2001,1,4,15,1020,5317,1,0,NA,NA,NA,NA,NA,Shasta County,06,089,06089
Sierra Sheriff's Department,2001,1,0,0,30,750,0,0,NA,NA,NA,NA,NA,Sierra County,06,091,06091
Siskiyou Sheriff's Department,2001,1,0,2,NA,NA,0,1,NA,NA,NA,NA,NA,Siskiyou County,06,093,06093
Solano Sheriff's Department,2001,1,15,6,3900,9100,2,4,NA,NA,NA,NA,NA,Solano County,06,095,06095
Sonoma Sheriff's Department,2001,1,NA,80,1282,19772,4,20,NA,NA,NA,NA,NA,Sonoma County,06,097,06097
Stanislaus Sheriff's Department,2001,1,25,NA,NA,NA,6,5,NA,NA,NA,NA,NA,Stanislaus County,06,099,06099
Sutter Sheriff's Department,2001,1,8,3,386,3579,2,0,NA,NA,NA,NA,NA,Sutter County,06,101,06101
Tehama Sheriff's Department,2001,1,2,NA,NA,NA,15,0,NA,NA,NA,NA,NA,Tehama County,06,103,06103
Trinity Sheriff's Department,2001,1,0,0,130,1275,0,0,NA,NA,NA,NA,NA,Trinity County,06,105,06105
Tulare Sheriff's Department,2001,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,Tulare County,06,107,06107
Tuolumne Sheriff's Department,2001,1,2,1,186,732,NA,0,NA,NA,NA,NA,NA,Tuolumne County,06,109,06109
Ventura Sheriff's Department,2001,1,NA,NA,2809,48942,3,9,NA,NA,NA,NA,NA,Ventura County,06,111,06111
Ventura Work Furlough,2001,1,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,Ventura County,06,111,06111
Yolo Sheriff's Department,2001,1,NA,NA,582,942,3,0,NA,NA,NA,NA,NA,Yolo County,06,113,06113
Yuba Sheriff's Department,2001,1,NA,NA,243,1881,51,0,NA,NA,NA,NA,NA,Yuba County,06,115,06115
Alameda Sheriff's Department,2000,4,42,245,5109,21967,3,6,NA,NA,NA,NA,NA,Alameda County,06,001,06001
Oakland Police Department,2000,4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,Alameda County,06,001,06001
Amador Sheriff's Department,2000,4,2,5,NA,NA,1,0,NA,NA,NA,NA,NA,Amador County,06,005,06005
Butte Sheriff's Department,2000,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Butte County,06,007,06007
Calaveras Sheriff's Department,2000,4,NA,NA,144,3467,1,0,NA,NA,NA,NA,NA,Calaveras County,06,009,06009
Colusa Sheriff's Department,2000,4,0,0,NA,NA,6,1,NA,NA,NA,NA,NA,Colusa County,06,011,06011
Contra Costa Sheriff's Department,2000,4,87,NA,3071,29e3,5,18,NA,NA,NA,NA,NA,Contra Costa County,06,013,06013
El Dorado Sheriff's Department,2000,4,3,5,272,2941,1,0,NA,NA,NA,NA,NA,El Dorado County,06,017,06017
Fresno Sheriff's Department,2000,4,20,105,10972,138420,3.3,3,NA,NA,NA,NA,NA,Fresno County,06,019,06019
Glenn Sheriff's Department,2000,4,1,0,1200,7206,6,0,NA,NA,NA,NA,NA,Glenn County,06,021,06021
Humboldt Sheriff's Department,2000,4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,Humboldt County,06,023,06023
Imperial Sheriff's Department,2000,4,0,4,NA,NA,29.9,0,NA,NA,NA,NA,NA,Imperial County,06,025,06025
Inyo Sheriff's Department,2000,4,1,0,NA,NA,7,0,NA,NA,NA,NA,NA,Inyo County,06,027,06027
Kern Sheriff's Department,2000,4,30,NA,3888,35748,NA,6,NA,NA,NA,NA,NA,Kern County,06,029,06029
Kings Sheriff's Department,2000,4,9,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Kings County,06,031,06031
Lake Sheriff's Department,2000,4,NA,NA,11237,18054,0,0,NA,NA,NA,NA,NA,Lake County,06,033,06033
Lassen Sheriff's Department,2000,4,0,0,441,11817,NA,0,NA,NA,NA,NA,NA,Lassen County,06,035,06035
Los Angeles Sheriff's Department,2000,4,800,1462,97377,821404,23,42,NA,NA,NA,NA,NA,Los Angeles County,06,037,06037
Scapular House,2000,4,0,0,0,0,NA,0,NA,NA,NA,NA,NA,Los Angeles County,06,037,06037
Madera Corrections Department,2000,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Madera County,06,039,06039
Marin Sheriff's Department,2000,4,6,1,860,9050,13.3,1,NA,NA,NA,NA,NA,Marin County,06,041,06041
Mariposa Sheriff's Department,2000,4,0,0,107,991,0,0,NA,NA,NA,NA,NA,Mariposa County,06,043,06043
Mendocino Sheriff's Department,2000,4,4,1,400,10400,6,0,NA,NA,NA,NA,NA,Mendocino County,06,045,06045
Merced Sheriff's Department,2000,4,11,16,2822,27503,15,0,NA,NA,NA,NA,NA,Merced County,06,047,06047
Modoc Sheriff's Department,2000,4,0,2,187,1644,1,0,NA,NA,NA,NA,NA,Modoc County,06,049,06049
Mono Sheriff's Department,2000,4,0,0,3810,4040,1,0,NA,NA,NA,NA,NA,Mono County,06,051,06051
Monterey Sheriff's Department,2000,4,NA,NA,1e4,1e4,NA,2,NA,NA,NA,NA,NA,Monterey County,06,053,06053
Napa Corrections Department,2000,4,NA,NA,NA,NA,22,0,NA,NA,NA,NA,NA,Napa County,06,055,06055
Nevada Sheriff's Department,2000,4,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,Nevada County,06,057,06057
Orange Sheriff's Department,2000,4,67,94,18768,177162,12.4,12,NA,NA,NA,NA,NA,Orange County,06,059,06059
Santa Ana Police Department,2000,4,NA,NA,NA,NA,35.2,0,NA,NA,NA,NA,NA,Orange County,06,059,06059
Placer Sheriff's Department,2000,4,16,13,738,8962,1,0,NA,NA,NA,NA,NA,Placer County,06,061,06061
Plumas Sheriff's Department,2000,4,1,2,101,458,1,0,NA,NA,NA,NA,NA,Plumas County,06,063,06063
Riverside Sheriff's Department,2000,4,15,2,11145,176837,15,41,NA,NA,NA,NA,NA,Riverside County,06,065,06065
Sacramento Sheriff's Department,2000,4,92,107,4403,67592,NA,NA,NA,NA,NA,NA,NA,Sacramento County,06,067,06067
San Benito Sheriff's Department,2000,4,1,4,NA,NA,10,0,NA,NA,NA,NA,NA,San Benito County,06,069,06069
San Bernardino Sheriff's Department,2000,4,68,136,12380,69039,20,8,NA,NA,NA,NA,NA,San Bernardino County,06,071,06071
San Diego Sheriff's Department,2000,4,108,258,15891,26260,5,8,NA,NA,NA,NA,NA,San Diego County,06,073,06073
San Diego Work Furlough,2000,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,San Diego County,06,073,06073
San Diego Probation Department,2000,4,NA,NA,NA,NA,8,0,NA,NA,NA,NA,NA,San Diego County,06,073,06073
San Francisco Sheriff's Department,2000,4,NA,NA,471,284,NA,4,NA,NA,NA,NA,NA,San Francisco County,06,075,06075
San Joaquin Sheriff's Department,2000,4,24,29,NA,NA,9,0,NA,NA,NA,NA,NA,San Joaquin County,06,077,06077
San Luis Obispo Sheriff's Department,2000,4,4,2,906,23478,10,1,NA,NA,NA,NA,NA,San Luis Obispo County,06,079,06079
San Mateo Sheriff's Department,2000,4,38,73,NA,NA,11,2,NA,NA,NA,NA,NA,San Mateo County,06,081,06081
Santa Barbara Sheriff's Department,2000,4,4,10,1515,14056,18,1,NA,NA,NA,NA,NA,Santa Barbara County,06,083,06083
Santa Clara Corrections Department,2000,4,118,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,Santa Clara County,06,085,06085
Santa Clara Probation Department,2000,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,Santa Clara County,06,085,06085
Santa Cruz Sheriff's Department,2000,4,8,33,1115,6700,8,3,NA,NA,NA,NA,NA,Santa Cruz County,06,087,06087
Shasta Sheriff's Department,2000,4,5,24,670,5395,2,2,NA,NA,NA,NA,NA,Shasta County,06,089,06089
Sierra Sheriff's Department,2000,4,0,0,18,569,0,0,NA,NA,NA,NA,NA,Sierra County,06,091,06091
Siskiyou Sheriff's Department,2000,4,1,2,NA,NA,0,1,NA,NA,NA,NA,NA,Siskiyou County,06,093,06093
Solano Sheriff's Department,2000,4,4,9,3900,9100,2,1,NA,NA,NA,NA,NA,Solano County,06,095,06095
Sonoma Sheriff's Department,2000,4,NA,79,1261,19980,4,23,NA,NA,NA,NA,NA,Sonoma County,06,097,06097
Stanislaus Sheriff's Department,2000,4,32,NA,NA,NA,6,2,NA,NA,NA,NA,NA,Stanislaus County,06,099,06099
Sutter Sheriff's Department,2000,4,9,4,356,3176,2,1,NA,NA,NA,NA,NA,Sutter County,06,101,06101
Tehama Sheriff's Department,2000,4,2,NA,NA,NA,10,0,NA,NA,NA,NA,NA,Tehama County,06,103,06103
Trinity Sheriff's Department,2000,4,0,0,127,1375,0,0,NA,NA,NA,NA,NA,Trinity County,06,105,06105
Tulare Sheriff's Department,2000,4,0,0,0,0,NA,0,NA,NA,NA,NA,NA,Tulare County,06,107,06107
Ventura Sheriff's Department,2000,4,NA,NA,2814,48801,14,3,NA,NA,NA,NA,NA,Ventura County,06,111,06111
Ventura Work Furlough,2000,4,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,Ventura County,06,111,06111
Yolo Sheriff's Department,2000,4,NA,NA,599,936,6,2,NA,NA,NA,NA,NA,Yolo County,06,113,06113
Yuba Sheriff's Department,2000,4,NA,NA,317,2122,51,0,NA,NA,NA,NA,NA,Yuba County,06,115,06115
Alameda Sheriff's Department,2000,3,33,175,5060,23796,2,9,NA,NA,NA,NA,NA,Alameda County,06,001,06001
Oakland Police Department,2000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alameda County,06,001,06001
Amador Sheriff's Department,2000,3,NA,NA,NA,NA,7,0,NA,NA,NA,NA,NA,Amador County,06,005,06005
Butte Sheriff's Department,2000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Butte County,06,007,06007
Calaveras Sheriff's Department,2000,3,NA,NA,137,2590,0,1,NA,NA,NA,NA,NA,Calaveras County,06,009,06009
Colusa Sheriff's Department,2000,3,0,0,NA,NA,5,0,NA,NA,NA,NA,NA,Colusa County,06,011,06011
Contra Costa Sheriff's Department,2000,3,54,NA,3036,29175,5,22,NA,NA,NA,NA,NA,Contra Costa County,06,013,06013
El Dorado Sheriff's Department,2000,3,3,6,295,3048,2,1,NA,NA,NA,NA,NA,El Dorado County,06,017,06017
Fresno Sheriff's Department,2000,3,19,116,10900,141310,4.07,2,NA,NA,NA,NA,NA,Fresno County,06,019,06019
Glenn Sheriff's Department,2000,3,0,1,276,4412,7,0,NA,NA,NA,NA,NA,Glenn County,06,021,06021
Humboldt Sheriff's Department,2000,3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,Humboldt County,06,023,06023
Inyo Sheriff's Department,2000,3,1,0,NA,NA,8,1,NA,NA,NA,NA,NA,Inyo County,06,027,06027
Kern Sheriff's Department,2000,3,31,NA,3977,36301,NA,9,NA,NA,NA,NA,NA,Kern County,06,029,06029
Kings Sheriff's Department,2000,3,9,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,Kings County,06,031,06031
Lake Sheriff's Department,2000,3,NA,NA,11175,17876,0,0,NA,NA,NA,NA,NA,Lake County,06,033,06033
Los Angeles Sheriff's Department,2000,3,728,1295,97211,833470,23,47,NA,NA,NA,NA,NA,Los Angeles County,06,037,06037
Scapular House,2000,3,0,0,0,0,NA,0,NA,NA,NA,NA,NA,Los Angeles County,06,037,06037
Madera Corrections Department,2000,3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,Madera County,06,039,06039
Marin Sheriff's Department,2000,3,8,2,850,9104,14.8,0,NA,NA,NA,NA,NA,Marin County,06,041,06041
Mariposa Sheriff's Department,2000,3,1,3,98,991,0,0,NA,NA,NA,NA,NA,Mariposa County,06,043,06043
Mendocino Sheriff's Department,2000,3,7,1,400,10400,8,0,NA,NA,NA,NA,NA,Mendocino County,06,045,06045
Merced Sheriff's Department,2000,3,10,15,2731,27189,15,0,NA,NA,NA,NA,NA,Merced County,06,047,06047
Modoc Sheriff's Department,2000,3,0,2,203,1599,6,0,NA,NA,NA,NA,NA,Modoc County,06,049,06049
Monterey Sheriff's Department,2000,3,0,0,1e4,1e3,0,2,NA,NA,NA,NA,NA,Monterey County,06,053,06053
Napa Corrections Department,2000,3,0,0,NA,NA,22,0,NA,NA,NA,NA,NA,Napa County,06,055,06055
Nevada Sheriff's Department,2000,3,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,Nevada County,06,057,06057
Orange Sheriff's Department,2000,3,91,151,18373,177740,12.8,10,NA,NA,NA,NA,NA,Orange County,06,059,06059
Santa Ana Police Department,2000,3,NA,NA,NA,NA,26.2,0,NA,NA,NA,NA,NA,Orange County,06,059,06059
Placer Sheriff's Department,2000,3,12,15,735,9018,NA,1,NA,NA,NA,NA,NA,Placer County,06,061,06061
Plumas Sheriff's Department,2000,3,0,2,94,437,0,0,NA,NA,NA,NA,NA,Plumas County,06,063,06063
Riverside Sheriff's Department,2000,3,18,2,11066,176332,13.91,36,NA,NA,NA,NA,NA,Riverside County,06,065,06065
Sacramento Sheriff's Department,2000,3,81,98,4368,67511,NA,NA,NA,NA,NA,NA,NA,Sacramento County,06,067,06067
San Benito Sheriff's Department,2000,3,1,3,NA,NA,10,0,NA,NA,NA,NA,NA,San Benito County,06,069,06069
San Bernardino Sheriff's Department,2000,3,75,149,12245,67036,15,24,NA,NA,NA,NA,NA,San Bernardino County,06,071,06071
San Diego Sheriff's Department,2000,3,103,229,15944,26400,5,16,NA,NA,NA,NA,NA,San Diego County,06,073,06073
San Diego Work Furlough,2000,3,0,0,0,0,0,0,NA,NA,NA,NA,NA,San Diego County,06,073,06073
San Diego Probation Department,2000,3,NA,NA,NA,NA,10,0,NA,NA,NA,NA,NA,San Diego County,06,073,06073
San Francisco Sheriff's Department,2000,3,NA,NA,432,286,NA,11,NA,NA,NA,NA,NA,San Francisco County,06,075,06075
San Joaquin Sheriff's Department,2000,3,19,25,NA,NA,10,0,NA,NA,NA,NA,NA,San Joaquin County,06,077,06077
San Luis Obispo Sheriff's Department,2000,3,2,2,288,23266,9,0,NA,NA,NA,NA,NA,San Luis Obispo County,06,079,06079
San Mateo Sheriff's Department,2000,3,42,62,NA,NA,12.8,2,NA,NA,NA,NA,NA,San Mateo County,06,081,06081
Santa Barbara Sheriff's Department,2000,3,4,7,1489,14561,18,0,NA,NA,NA,NA,NA,Santa Barbara County,06,083,06083
Santa Clara Corrections Department,2000,3,134,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,Santa Clara County,06,085,06085
Santa Clara Probation Department,2000,3,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,Santa Clara County,06,085,06085
Santa Cruz Sheriff's Department,2000,3,7,31,1124,6698,6,1,NA,NA,NA,NA,NA,Santa Cruz County,06,087,06087
Shasta Sheriff's Department,2000,3,3,8,1034,5256,3,4,NA,NA,NA,NA,NA,Shasta County,06,089,06089
Sierra Sheriff's Department,2000,3,0,0,19,566,0,0,NA,NA,NA,NA,NA,Sierra County,06,091,06091
Siskiyou Sheriff's Department,2000,3,1,3,NA,NA,0,3,NA,NA,NA,NA,NA,Siskiyou County,06,093,06093
Solano Sheriff's Department,2000,3,10,9,3900,9100,2,0,NA,NA,NA,NA,NA,Solano County,06,095,06095
Sonoma Sheriff's Department,2000,3,NA,83,1222,20138,5,14,NA,NA,NA,NA,NA,Sonoma County,06,097,06097
Stanislaus Sheriff's Department,2000,3,23,NA,NA,NA,6,4,NA,NA,NA,NA,NA,Stanislaus County,06,099,06099
Sutter Sheriff's Department,2000,3,6,3,300,2687,2,0,NA,NA,NA,NA,NA,Sutter County,06,101,06101
Tehama Sheriff's Department,2000,3,2,NA,NA,NA,10,0,NA,NA,NA,NA,NA,Tehama County,06,103,06103
Trinity Sheriff's Department,2000,3,0,0,139,1430,1,0,NA,NA,NA,NA,NA,Trinity County,06,105,06105
Tulare Sheriff's Department,2000,3,0,0,0,0,0,0,NA,NA,NA,NA,NA,Tulare County,06,107,06107
Tuolumne Sheriff's Department,2000,3,1,4,199,720,0,0,NA,NA,NA,NA,NA,Tuolumne County,06,109,06109
Ventura Sheriff's Department,2000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ventura County,06,111,06111
Ventura Work Furlough,2000,3,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,Ventura County,06,111,06111
Yolo Sheriff's Department,2000,3,NA,NA,573,894,6,1,NA,NA,NA,NA,NA,Yolo County,06,113,06113
Yuba Sheriff's Department,2000,3,NA,NA,339,2479,55,0,NA,NA,NA,NA,NA,Yuba County,06,115,06115
Alameda Sheriff's Department,2000,2,51,203,5059,23797,4,6,NA,NA,NA,NA,NA,Alameda County,06,001,06001
Oakland Police Department,2000,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,Alameda County,06,001,06001
Amador Sheriff's Department,2000,2,2,8,NA,NA,0,0,NA,NA,NA,NA,NA,Amador County,06,005,06005
Butte Sheriff's Department,2000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Butte County,06,007,06007
Calaveras Sheriff's Department,2000,2,NA,NA,136,3506,0.5,1,NA,NA,NA,NA,NA,Calaveras County,06,009,06009
Colusa Sheriff's Department,2000,2,0,0,NA,NA,5,0,NA,NA,NA,NA,NA,Colusa County,06,011,06011
Contra Costa Sheriff's Department,2000,2,58,NA,3058,29466,5,15,NA,NA,NA,NA,NA,Contra Costa County,06,013,06013
El Dorado Sheriff's Department,2000,2,3,6,285,3012,2,0,NA,NA,NA,NA,NA,El Dorado County,06,017,06017
Fresno Sheriff's Department,2000,2,29,98,10606,138504,2.9499999999999997,5,NA,NA,NA,NA,NA,Fresno County,06,019,06019
Glenn Sheriff's Department,2000,2,0,2,276,4412,9,1,NA,NA,NA,NA,NA,Glenn County,06,021,06021
Humboldt Sheriff's Department,2000,2,0,0,0,0,0,1,NA,NA,NA,NA,NA,Humboldt County,06,023,06023
Imperial Sheriff's Department,2000,2,0,3,1948,49448,29.9,2,NA,NA,NA,NA,NA,Imperial County,06,025,06025
Inyo Sheriff's Department,2000,2,0,2,NA,NA,7,1,NA,NA,NA,NA,NA,Inyo County,06,027,06027
Kern Sheriff's Department,2000,2,31,NA,3983,35904,NA,7,NA,NA,NA,NA,NA,Kern County,06,029,06029
Kings Sheriff's Department,2000,2,8,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,Kings County,06,031,06031
Lake Sheriff's Department,2000,2,NA,NA,11271,18492,0,0,NA,NA,NA,NA,NA,Lake County,06,033,06033
Lassen Sheriff's Department,2000,2,0,0,450,11842,NA,0,NA,NA,NA,NA,NA,Lassen County,06,035,06035
Los Angeles Sheriff's Department,2000,2,761,1295,95548,830568,23,46,NA,NA,NA,NA,NA,Los Angeles County,06,037,06037
Scapular House,2000,2,0,0,0,0,NA,0,NA,NA,NA,NA,NA,Los Angeles County,06,037,06037
Madera Corrections Department,2000,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,Madera County,06,039,06039
Marin Sheriff's Department,2000,2,18,16,868,9032,13,1,NA,NA,NA,NA,NA,Marin County,06,041,06041
Mariposa Sheriff's Department,2000,2,1,4,99,952,1,0,NA,NA,NA,NA,NA,Mariposa County,06,043,06043
Mendocino Sheriff's Department,2000,2,9,1,400,10400,5,0,NA,NA,NA,NA,NA,Mendocino County,06,045,06045
Merced Sheriff's Department,2000,2,8,13,2657,26776,16,0,NA,NA,NA,NA,NA,Merced County,06,047,06047
Modoc Sheriff's Department,2000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Modoc County,06,049,06049
Mono Sheriff's Department,2000,2,0,0,4100,3800,1,0,NA,NA,NA,NA,NA,Mono County,06,051,06051
Monterey Sheriff's Department,2000,2,NA,NA,1e4,1e4,NA,4,NA,NA,NA,NA,NA,Monterey County,06,053,06053
Napa Corrections Department,2000,2,0,0,NA,NA,24,0,NA,NA,NA,NA,NA,Napa County,06,055,06055
Nevada Sheriff's Department,2000,2,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,Nevada County,06,057,06057
Orange Sheriff's Department,2000,2,98,122,18149,176548,13.2,4,NA,NA,NA,NA,NA,Orange County,06,059,06059
Santa Ana Police Department,2000,2,NA,NA,NA,NA,13.4,0,NA,NA,NA,NA,NA,Orange County,06,059,06059
Placer Sheriff's Department,2000,2,13,15,720,9747,3,0,NA,NA,NA,NA,NA,Placer County,06,061,06061
Plumas Sheriff's Department,2000,2,0,0,87,434,NA,0,NA,NA,NA,NA,NA,Plumas County,06,063,06063
Riverside Sheriff's Department,2000,2,15,5,11109,175925,13.82,56,NA,NA,NA,NA,NA,Riverside County,06,065,06065
Sacramento Sheriff's Department,2000,2,88,102,4555,64582,NA,NA,NA,NA,NA,NA,NA,Sacramento County,06,067,06067
San Benito Sheriff's Department,2000,2,1,5,NA,NA,15,0,NA,NA,NA,NA,NA,San Benito County,06,069,06069
San Bernardino Sheriff's Department,2000,2,71,143,12058,65615,16,4,NA,NA,NA,NA,NA,San Bernardino County,06,071,06071
San Diego Sheriff's Department,2000,2,96,211,15876,25657,5,13,NA,NA,NA,NA,NA,San Diego County,06,073,06073
San Diego Work Furlough,2000,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,San Diego County,06,073,06073
San Diego Probation Department,2000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,San Diego County,06,073,06073
San Francisco Sheriff's Department,2000,2,NA,NA,426,284,NA,12,NA,NA,NA,NA,NA,San Francisco County,06,075,06075
San Joaquin Sheriff's Department,2000,2,18,27,NA,NA,9,0,NA,NA,NA,NA,NA,San Joaquin County,06,077,06077
San Luis Obispo Sheriff's Department,2000,2,2,2,888,23266,9,0,NA,NA,NA,NA,NA,San Luis Obispo County,06,079,06079
